"","site","date","time","temp","p_h","sp_cond","tds","redox","do_mg_l","do_sat","depth_m","chlorophyll_a_ug_l","salinity_psu","year","orthophosphate_as_p","phosphorus","calcium","chloride","magnesium","mercury","nitrogen_ammonia","nitrogen_kjeldahl_total","nitrogen_no2_plus_no3","sodium","total_suspended_solids","alkalinity_carbonate_co3","alkalinity_hydroxide_ca_co3","alkalinity_hydroxide_oh","alkalinity_total_as_ca_co3","alkalinity_bicarbonate_ca_co3","alkalinity_bicarbonate_hco3","alkalinity_carbonate_ca_co3","arsenic","lead","sulfate","chlorophyll_a","chlorophyll_a_non_pc","iron","flag"
"1","Arctic Inflow 3",2024-06-25,"10:42",24.49090909,7.193636364,499.1818182,0.319363636,344.7272727,1.271818182,15.90909091,0.229090909,8.733636364,0.24,24,0.19,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2","Arctic Inflow 3",2024-07-01,"10:20",19.45818182,6.945454545,622.2727273,0.398272727,227.6363636,0.98,10.99090909,0.307727273,NA,0.3,24,0.12,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3","Arctic Lake E Deep",2024-04-15,"11:00",7.674,7.05,528.9,0.3384,267.5,0.101,0.88,9.6196,0,0.26,24,0.005,0.11,51000,56.6,22300,0.005,0.96,2.4,0.05,19800,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"4","Arctic Lake E Deep",2024-04-29,"11:05",8.883,7.122,562.1,0.3595,144.9,0.085,0.78,9.5525,0.483,0.279,24,0.005,0.1,55500,57.7,23400,NA,0.8,2.5,0.05,20700,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"5","Arctic Lake E Deep",2024-05-13,"10:39",11.667,7.322,555.8,0.3556,27.7,0.072,0.7,9.5978,42.401,0.274,24,0.035,0.25,52200,58.8,22100,NA,1.4,2.7,0.05,19300,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"6","Arctic Lake E Deep",2024-05-22,"10:59",11.504,7.245,544.9,0.3488,57.2,0.087,0.83,9.6098,5.225,0.269,24,0.15,0.29,56400,55.9,23000,NA,1.6,2.4,0.05,21400,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"7","Arctic Lake E Deep",2024-06-10,"10:13",13.293,7.209,673.3,0.4308,24.1,0.058,0.58,9.2734,1.284,0.33,24,0.49,0.62,54600,59.3,22100,NA,2.6,3.5,0.05,19700,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"8","Arctic Lake E Deep",2024-06-25,"12:09",17.384,7.134,573.2,0.3668,-42.4,0.024,0.26,8.741,20.633,0.279,24,0.16,0.29,49200,49.4,18700,NA,1.5,2.8,0.05,15400,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"9","Arctic Lake E Deep",2024-07-01,"11:00",12.705,6.861,646.9,0.4142,121.1,0.042,0.4,9.3079,NA,0.32,24,0.23,1.7,57300,56.3,22700,0.005,5.6,6.6,0.05,19800,17.6,2.5,2.5,2.5,227,227,277,2.5,4.2,5,1.1,NA,NA,NA,TRUE
"10","Arctic Lake E Deep",2024-07-17,"10:15",15.68,6.877,670,0.4288,100.7,0.046,0.49,8.8756,NA,0.33,24,0.28,0.93,54000,50.5,20700,NA,3.3,5,0.05,16500,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"11","Arctic Lake E Deep",2024-07-29,"10:18",16.67636364,6.748181818,669.9090909,0.428727273,99.54545455,0.048181818,0.5,9.410454545,NA,0.33,24,0.2,1.3,56600,51.7,21900,NA,5.2,6.6,0.05,18600,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"12","Arctic Lake E Deep",2024-08-12,"10:47",15.31857143,6.691428571,715.0714286,0.457642857,93.85714286,0.052857143,0.535714286,9.262357143,NA,0.353571429,24,0.12,0.44,49300,47.2,20200,0.005,2.1,4.2,0.05,16700,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,TRUE
